CustomerID,preferred_hour,weekend_ratio,is_weekend_shopper,Segment,RFM_Enhanced_Cluster,Timing_Persona
12346.0,13,0.0,0,Can't Lose Them,3,Weekday Professional
12347.0,14,0.1581027667984189,0,Loyal Customers,4,Weekday Professional
12348.0,14,0.0588235294117647,0,Lost,4,Weekday Professional
12349.0,9,0.0,0,Lost,4,Weekday Professional
12350.0,16,0.0,0,Hibernating,1,Weekday Professional
12351.0,15,0.0,0,Hibernating,1,Weekday Professional
12352.0,14,0.0,0,Loyal Customers,4,Weekday Professional
12353.0,12,0.0,0,About To Sleep,1,Weekday Professional
12354.0,13,0.0,0,Lost,1,Weekday Professional
12355.0,11,0.0,0,About To Sleep,1,Weekday Professional
12356.0,9,0.0,0,Loyal Customers,4,Weekday Professional
12357.0,10,0.4425675675675675,0,Lost,4,Weekday Professional
12358.0,10,0.0,0,Loyal Customers,4,Weekday Professional
12359.0,12,0.1726027397260274,0,Loyal Customers,4,Weekday Professional
12360.0,9,0.0,0,Loyal Customers,4,Weekday Professional
12361.0,15,0.2068965517241379,0,About To Sleep,0,Weekday Professional
12362.0,15,0.0,0,Champions,4,Weekday Professional
12363.0,13,0.0,0,Potential Loyalists,1,Weekday Professional
12364.0,15,0.2588235294117647,0,Lost,4,Weekday Professional
12365.0,13,0.0,0,About To Sleep,1,Weekday Professional
12366.0,10,0.0,0,Hibernating,1,Weekday Professional
12367.0,16,0.0,0,Potential Loyalists,2,Weekday Professional
12368.0,15,1.0,1,Lost,1,Weekend Browser
12369.0,14,0.0,0,At Risk,3,Weekday Professional
12370.0,12,0.0,0,Loyal Customers,4,Weekday Professional
12371.0,13,0.0,0,Loyal Customers,4,Weekday Professional
12372.0,12,0.0,0,Need Attention,4,Weekday Professional
12373.0,13,0.0,0,About To Sleep,3,Weekday Professional
12374.0,14,0.0,0,Lost,4,Weekday Professional
12375.0,14,0.0,0,Potential Loyalists,0,Weekday Professional
12376.0,8,0.0,0,About To Sleep,1,Morning Bird
12377.0,15,0.0,0,About To Sleep,3,Weekday Professional
12378.0,10,0.0,0,Need Attention,1,Weekday Professional
12379.0,14,0.0,0,Need Attention,4,Weekday Professional
12380.0,15,0.0,0,Loyal Customers,4,Weekday Professional
12381.0,9,0.1839080459770115,0,Loyal Customers,4,Weekday Professional
12383.0,14,0.0,0,Lost,3,Weekday Professional
12384.0,11,0.0,0,Potential Loyalists,0,Weekday Professional
12385.0,15,0.0,0,Lost,1,Weekday Professional
12386.0,9,0.0,0,About To Sleep,1,Weekday Professional
12387.0,16,0.0,0,Hibernating,1,Weekday Professional
12388.0,12,0.1506849315068493,0,Loyal Customers,4,Weekday Professional
12389.0,11,0.0,0,About To Sleep,3,Weekday Professional
12390.0,9,0.0,0,Potential Loyalists,1,Weekday Professional
12391.0,12,0.0,0,Loyal Customers,4,Weekday Professional
12392.0,14,0.0,0,Hibernating,0,Weekday Professional
12393.0,9,0.0,0,Lost,4,Weekday Professional
12394.0,14,0.0,0,Need Attention,4,Weekday Professional
12395.0,16,0.0590551181102362,0,Champions,4,Weekday Professional
12396.0,13,0.0,0,Lost,1,Weekday Professional
12397.0,14,0.0,0,Lost,4,Weekday Professional
12398.0,10,0.0,0,Recent Customers,1,Weekday Professional
12399.0,9,0.0,0,Lost,4,Weekday Professional
12400.0,13,0.0,0,Hibernating,0,Weekday Professional
12401.0,13,0.0,0,Hibernating,0,Weekday Professional
12402.0,12,0.4,0,Can't Lose Them,3,Weekday Professional
12403.0,10,0.0,0,Potential Loyalists,4,Weekday Professional
12404.0,16,0.0,0,Hibernating,0,Weekday Professional
12405.0,8,0.0,0,Promising,1,Morning Bird
12406.0,19,0.0,0,Loyal Customers,4,Morning Bird
12407.0,9,0.1948051948051948,0,Loyal Customers,4,Weekday Professional
12408.0,13,0.0,0,Loyal Customers,4,Weekday Professional
12409.0,10,0.3295454545454545,0,Lost,4,Weekday Professional
12410.0,10,0.35,0,About To Sleep,3,Weekday Professional
12411.0,9,0.0,0,Hibernating,1,Weekday Professional
12412.0,13,0.0,0,Lost,4,Weekday Professional
12413.0,16,0.0784313725490196,0,Potential Loyalists,4,Weekday Professional
12414.0,14,0.0,0,At Risk,3,Weekday Professional
12415.0,15,0.0,0,Loyal Customers,4,Weekday Professional
12416.0,10,1.0,1,Hibernating,1,Weekend Browser
12417.0,10,0.1108108108108108,0,Champions,4,Weekday Professional
12418.0,11,0.0,0,Need Attention,4,Weekday Professional
12419.0,10,0.0,0,About To Sleep,1,Weekday Professional
12420.0,8,0.0,0,Potential Loyalists,1,Morning Bird
12421.0,13,0.2153846153846154,0,Loyal Customers,4,Weekday Professional
12422.0,13,0.1220930232558139,0,Lost,4,Weekday Professional
12423.0,10,0.0,0,Loyal Customers,4,Weekday Professional
12424.0,10,0.0,0,Need Attention,4,Weekday Professional
12425.0,14,0.0,0,Need Attention,1,Weekday Professional
12426.0,8,0.3896103896103896,0,About To Sleep,3,Morning Bird
12427.0,10,0.0,0,Potential Loyalists,4,Weekday Professional
12428.0,9,0.0340136054421768,0,Loyal Customers,4,Weekday Professional
12429.0,12,0.0,0,Loyal Customers,4,Weekday Professional
12430.0,15,0.0,0,Potential Loyalists,1,Weekday Professional
12431.0,9,0.074074074074074,0,Loyal Customers,4,Weekday Professional
12432.0,13,0.0,0,Loyal Customers,4,Weekday Professional
12433.0,13,0.0,0,Champions,4,Weekday Professional
12434.0,13,0.0,0,Potential Loyalists,4,Weekday Professional
12435.0,16,0.0,0,Lost,4,Weekday Professional
12436.0,12,0.0,0,Potential Loyalists,1,Weekday Professional
