customerid,segment,monetary,frequency,recency,predicted_clv,clv_tier,churn_probability,churn_flag,purchase_window_label,pw_prob_active,pw_prob_warming,pw_prob_dormant,campaign_priority_score,rfm_enhanced_cluster
16754.0,Can't Lose Them,67502.47,29,372,73567.7425188275,Premium,0.650097062888202,1,Dormant,2.1239385696318977e-07,3.2156910016960083e-07,0.9999994660370428,7.285,3
13902.0,Can't Lose Them,34095.26,5,632,29524.842567725565,Premium,0.6630853147104254,1,Dormant,1.2607044082954283e-07,1.5543153472430448e-07,0.9999997184980245,6.8252,3
12901.0,Champions,17654.54,28,9,64591.15912324737,Premium,0.616040671886701,1,Active,0.9999996562629245,1.520069639978422e-07,1.9173011137973484e-07,6.8232,2
12482.0,Can't Lose Them,23691.4,29,576,30324.708830075077,Premium,0.6608580366926456,1,Dormant,2.263000286354014e-07,3.428597919257048e-07,0.9999994308401794,6.8199,2
14096.0,Champions,65164.79,17,4,47084.00751292262,Premium,0.6272484790568076,1,Active,0.9999996150980861,2.1978105296444485e-07,1.6512086090768607e-07,6.749,2
17850.0,Can't Lose Them,56600.08,155,372,31476.809188532756,Premium,0.650097062888202,1,Dormant,2.687623591310705e-07,3.9533011817907577e-07,0.9999993359075225,6.7331,2
12346.0,Can't Lose Them,77556.46,12,326,47196.10199181983,Premium,0.5993565743088383,1,Dormant,1.4009799936841974e-07,2.878522122391953e-07,0.9999995720497885,6.4503,3
14134.0,Can't Lose Them,11123.35,15,383,14521.342815993417,Premium,0.6439503209812564,1,Dormant,1.5908478814750504e-07,2.999599352764665e-07,0.9999995409552767,6.1713,3
17448.0,Can't Lose Them,14556.97,46,497,16091.292904003076,Premium,0.6303353062140359,1,Dormant,2.702241096864004e-07,3.3752658596461793e-07,0.9999993922493043,6.1055,2
15749.0,About To Sleep,44534.3,3,235,9506.064466614938,Premium,0.6578877521640424,1,Dormant,1.2881051497556478e-07,1.576934484342735e-07,0.9999997134960364,6.0261,3
12536.0,Lost,12601.830000000002,3,43,8884.276963406679,Premium,0.6578877521640424,1,Warming,1.777861307884798e-07,0.9999996940640122,1.2814985698219482e-07,5.9816,2
14160.0,Can't Lose Them,8421.47,7,610,8155.461877492347,Premium,0.6608580366926456,1,Dormant,1.24830384886482e-07,1.572000033759169e-07,0.9999997179696116,5.9521,3
17308.0,About To Sleep,4511.76,2,393,7920.591179724534,Premium,0.6601245048539391,1,Dormant,1.234321209122669e-07,1.5328131364526912e-07,0.9999997232865654,5.9262,3
13206.0,Can't Lose Them,8377.32,13,400,7669.148063957118,Premium,0.6619638251594925,1,Dormant,1.4233784714511103e-07,2.541677778173851e-07,0.999999603494375,5.9213,3
13615.0,Can't Lose Them,6272.53,8,319,7642.323417860952,Premium,0.6619638251594925,1,Dormant,1.2823390753610953e-07,2.2772322793506043e-07,0.9999996440428646,5.919,3
13715.0,Can't Lose Them,8483.29,17,281,8596.17837596323,Premium,0.6470828619027515,1,Dormant,1.5624043550296471e-07,2.9368572297686533e-07,0.9999995500738416,5.862,3
15369.0,Can't Lose Them,6251.26,11,492,6877.95295383159,Premium,0.6619638251594925,1,Dormant,1.2610166490610468e-07,2.2276099150790254e-07,0.9999996511373435,5.8493,3
14091.0,At Risk,9530.08,2,654,6367.3858588353205,Premium,0.6630853147104254,1,Dormant,1.2345158069051836e-07,1.5331418263543993e-07,0.9999997232342366,5.808,3
14648.0,Can't Lose Them,4546.86,15,416,7454.903533756833,Premium,0.650097062888202,1,Dormant,1.4520555054345313e-07,2.673630542569696e-07,0.9999995874313953,5.7968,3
12754.0,About To Sleep,3010.74,3,236,6455.931251476938,Premium,0.6578877521640424,1,Dormant,1.2480378050032132e-07,1.5716648462590685e-07,0.9999997180297349,5.7716,3
12755.0,Can't Lose Them,9030.66,11,281,10462.286342728295,Premium,0.6228440168189022,1,Dormant,1.4377305124587844e-07,2.534281334127066e-07,0.9999996027988153,5.7648,3
16729.0,Loyal Customers,7239.92,21,38,11132.34493272456,Premium,0.616040671886701,1,Warming,7.668347341764799e-07,0.9999989356166816,2.9754858405093936e-07,5.7401,2
14063.0,Can't Lose Them,22710.2,9,438,13484.332177759312,Premium,0.6034635800643954,1,Dormant,1.2824275257732243e-07,2.20318350318694e-07,0.9999996514388971,5.7386,3
12669.0,Need Attention,2744.03,3,151,5686.1005904892845,Premium,0.6578877521640424,1,Dormant,1.29297210867353e-07,2.063464305865996e-07,0.9999996643563586,5.6881,3
13963.0,Can't Lose Them,3011.87,17,308,6277.581437808214,Premium,0.6470828619027515,1,Dormant,1.9333158559369204e-07,2.919391193769489e-07,0.9999995147292949,5.6587,3
16467.0,Can't Lose Them,2869.16,7,509,5132.239429448014,Premium,0.6619638251594925,1,Dormant,1.2297639168382187e-07,1.5583364176483868e-07,0.9999997211899665,5.6555,3
15032.0,Can't Lose Them,13780.65,8,256,13423.145671473934,Premium,0.5949200624446467,1,Dormant,1.4038368886375057e-07,2.266726451107076e-07,0.999999632943666,5.6546,3
